date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200528,AK,425,47545,,10,,,,,,366,B,5/28/2020 00:00,37e60616c88a6df069f2a7030ec9f82b3978cb83,2020-05-28T20:00:00Z,10,,47970,47970,47970,02,0,0,1594,13,1607
20200528,AL,16310,184171,,,1765,,566,,338,9355,B,5/28/2020 00:00,b774f53f9f66430cb45fa6be6f576eb6ef99e74d,2020-05-28T20:00:00Z,590,1765,200481,200481,200481,01,9,46,4220,467,4687
20200528,AR,6538,112364,,104,640,,,27,118,4583,A,5/27/2020 19:30,e62e173d8cad6fe1acec1555776aa074b3947e0b,2020-05-28T20:00:00Z,120,640,118902,118902,118902,05,0,13,3045,261,3306
20200528,AS,0,174,,,,,,,,,C,5/27/2020 00:00,c8ab6f4513aca84f90b5b0a8124f6717609418d2,2020-05-28T20:00:00Z,0,,174,174,174,60,0,0,0,0,0
20200528,AZ,17763,185151,,945,2848,374,,222,,4452,A+,5/28/2020 00:00,45c769434c737e258af3517aa823e29db459b8c5,2020-05-28T20:00:00Z,857,2848,202914,202914,202914,04,26,817,6147,501,6648
20200528,CA,101697,1688862,,4529,,1325,,,,,B,5/28/2020 00:00,0d6445cf4d68a90656e6555a195d5a9962ef31d6,2020-05-28T20:00:00Z,3973,,1790559,1790559,1790559,06,89,0,50948,2717,53665
20200528,CO,24767,138356,,464,4196,,,,,3783,A,5/28/2020 00:00,47429073013e32fc25412a25d102ed82fd2d8c5b,2020-05-28T20:00:00Z,1392,4196,163123,163123,163123,08,40,36,3501,202,3703
20200528,CT,41559,193966,,648,12538,,,,,7127,B,5/27/2020 20:30,b80aa1e7519d87cc4826d75322b19a7d3bd31d8d,2020-05-28T20:00:00Z,3826,12538,235525,235525,235525,09,57,0,9907,256,10163
20200528,DC,8492,35022,,343,,108,,65,,1082,A+,5/27/2020 00:00,3f9cd5fb4826e55d96651d25152b4b0e455634e9,2020-05-28T20:00:00Z,453,,43514,43514,43514,11,8,0,731,86,817
20200528,DE,9171,47630,,192,,,,,,5010,A,5/27/2020 18:00,da39ed47ae2ed22845d694130a3faaf79621cea8,2020-05-28T20:00:00Z,345,,56801,56801,56801,10,1,0,1305,75,1380
20200528,FL,53285,898331,1158,,10056,,,,,,A,5/28/2020 11:06,8c42f020c41108f56b0f6dc309b25606a65e4930,2020-05-28T20:00:00Z,2446,10056,952774,951616,951616,12,46,157,17394,651,18045
20200528,GA,45070,399576,,903,7767,,1761,,,,A,5/28/2020 13:00,5b127b95bbad149e46a66d70861b87e05917bb61,2020-05-28T20:00:00Z,1962,7767,444646,444646,444646,13,55,101,3241,649,3890
20200528,GU,172,5790,,,,,,,,143,C,5/28/2020 07:45,d5cfba905aa705acb646beade0967b9322c97f8a,2020-05-28T20:00:00Z,5,,5962,5962,5962,66,0,0,275,2,277
20200528,HI,644,51195,,,83,,,,,600,D,5/27/2020 18:00,eb5caab44b97cab87b00780c807576c1aa2249c4,2020-05-28T20:00:00Z,17,83,51839,51839,51839,15,0,0,636,1,637
20200528,IA,18573,124360,,383,,112,,67,,10359,A+,5/28/2020 00:00,0c558bbcd9759637c5852624cf7ff428f9b7706d,2020-05-28T20:00:00Z,504,,142933,142933,142933,19,13,0,3194,213,3407
20200528,ID,2731,41144,,,234,,95,,,2185,A,5/27/2020 19:00,cc9ca61004890c3c4708d90004805a71ba8dd12a,2020-05-28T20:00:00Z,82,234,43875,43875,43875,16,1,3,826,32,858
20200528,IL,115833,714133,,3649,,1009,,576,,,A,5/28/2020 00:00,e1b1875c6d981adf1ee8074b1e73bdfa026e263d,2020-05-28T20:00:00Z,5186,,829966,829966,829966,17,103,0,24466,1527,25993
20200528,IN,33068,209219,,1131,5285,411,1166,178,,,A+,5/27/2020 23:59,8fa2579596481ba0941b248b486b5718440f0634,2020-05-28T20:00:00Z,2068,5285,242287,242287,242287,18,38,0,6323,631,6954
20200528,KS,9337,75151,,,822,,275,,122,534,A,5/27/2020 10:00,420d9678eab5e67987bc2dbf21d650ac62cd9cbd,2020-05-28T20:00:00Z,205,822,84488,84488,84488,20,0,0,0,0,0
20200528,KY,9077,173024,,512,2142,82,899,,,3124,A,5/27/2020 17:00,71be8eb32be047d18efb7195be6dda99a0498e34,2020-05-28T20:00:00Z,400,2142,182101,182101,182101,21,0,6,0,0,0
20200528,LA,38802,355027,,761,,,,100,,28700,B,5/28/2020 13:00,1dc5911c425c2d32aa6e81bf79376b6089905933,2020-05-28T20:00:00Z,2740,,393829,393829,393829,22,18,0,45877,305,46182
20200528,MA,94895,467428,,2112,9618,529,,,,,A,5/28/2020 10:00,105e052b4e29072082da566bd62689b53a509d2a,2020-05-28T20:00:00Z,6640,9618,562323,562323,562323,25,167,230,15640,1202,16842
20200528,MD,49709,225149,,1334,8392,511,,,,3468,B,5/28/2020 10:00,8ab2e4b5e209f592e8201fecea3d561b26f8cf6d,2020-05-28T20:00:00Z,2428,8392,274858,274858,274858,24,36,111,11517,1286,12803
20200528,ME,2189,43480,,58,264,22,,14,,1402,B,5/27/2020 23:59,70be23f06535f9c5b80a8e678ab7616468d6e0a7,2020-05-28T20:00:00Z,84,264,45669,45669,45669,23,3,4,0,52,52
20200528,MI,56014,448444,,860,,405,,251,,33168,A+,5/28/2020 11:00,7d7f5821c6c7d00ec9763f6d6db5e192bf524a97,2020-05-28T20:00:00Z,5372,,504458,504458,504458,26,38,0,9800,406,10206
20200528,MN,22947,202261,,606,2880,242,924,,,16655,A,5/27/2020 17:00,7dedd434b482687cbdb03d046c043669b586d3fb,2020-05-28T20:00:00Z,977,2880,225208,225208,225208,27,35,84,8193,483,8676
20200528,MO,12673,158394,,648,,,,88,,,B,5/28/2020 15:00,f0435496343e9f13f7a18986b5dd7f464799c978,2020-05-28T20:00:00Z,707,,171067,171067,171067,29,11,0,5365,181,5546
20200528,MP,22,5401,,,,,,,,13,D,5/28/2020 00:00,4b1e8a3bb27629a6313be8ced9c00fef6be2059b,2020-05-28T20:00:00Z,2,,5423,5423,5423,69,0,0,223,0,223
20200528,MS,14372,142125,,594,2147,148,,78,,9401,A,5/27/2020 19:00,661b9dd86110272c057d91cdbf3dcc33743487ff,2020-05-28T20:00:00Z,693,2147,156497,156497,156497,28,23,41,8037,328,8365
20200528,MT,485,36308,,1,66,,,,,445,C,5/28/2020 00:00,d26c244d850a92f579a1a14038ee6bccc748d16c,2020-05-28T20:00:00Z,17,66,36793,36793,36793,30,0,0,1146,4,1150
20200528,NC,25412,349780,,708,,,,,,14954,A,5/28/2020 10:30,4c9326fc2d7f33cc29224ab037231efa77e1c720,2020-05-28T20:00:00Z,827,,375192,375192,375192,37,33,0,10252,784,11036
20200528,ND,2481,65773,,35,161,,,,,1793,C,5/28/2020 00:00,b2c5f3c80e5d4084a0ae2c9ca8fc48c84bd14163,2020-05-28T20:00:00Z,57,161,68254,68254,68254,38,1,0,872,42,914
20200528,NE,12976,80004,,,,,,,,,D,5/26/2020 19:45,725a3605316363d1bd3cd869e0128be93129b8d5,2020-05-28T20:00:00Z,163,,92980,92980,92980,31,10,0,2202,357,2559
20200528,NH,4286,61310,,105,426,,120,,,2691,B,5/27/2020 09:00,c4b87fc4a66c5f58efc30592052b6bdeb8ed00fb,2020-05-28T20:00:00Z,223,426,65596,65596,65596,33,9,5,1309,55,1364
20200528,NJ,157815,528042,,2797,16778,740,,564,,25804,A+,5/28/2020 13:00,8c07b34e421f01a33bdbeb9776805936d9fd953b,2020-05-28T20:00:00Z,11401,16778,685857,685857,685857,34,62,181,24345,1187,25532
20200528,NM,7252,172291,,210,1282,,,,,2638,C,5/27/2020 18:19,39ed39ce08a30a1f99b1c7341e95f0d4287ad486,2020-05-28T20:00:00Z,329,1282,179543,179543,179543,35,4,0,-1225,122,-1103
20200528,NV,8208,122982,,439,,123,,55,,406,A+,5/28/2020 12:30,bb72893caad2225b6dab6d6ec4cf62e296c5c9d0,2020-05-28T20:00:00Z,406,,131190,131190,131190,32,10,0,2536,95,2631
20200528,NY,366733,1510056,,4010,78043,1219,,931,,64954,A,5/28/2020 00:00,bc0a13ef57e5405d70899664f175c10af1327dde,2020-05-28T20:00:00Z,23722,78043,1876789,1876789,1876789,36,79,205,63477,1768,65245
20200528,OH,33915,326097,,812,5811,285,1516,190,,,B,5/28/2020 14:00,57302292ddfb7add68839b860938d3bf23fdd562,2020-05-28T20:00:00Z,2098,5811,360012,360012,360012,39,54,111,9811,476,10287
20200528,OK,6270,176136,,181,975,80,,,,5236,A+,5/28/2020 00:00,78a25c9436f9cdfd77b7460220c32eb5095fe9a8,2020-05-28T20:00:00Z,326,975,182406,182406,182406,40,4,34,3727,41,3768
20200528,OR,4086,115561,,149,768,32,,17,,1981,A+,5/28/2020 03:01,6103c88787be52bdc91a79ae56bdbda4165430a2,2020-05-28T20:00:00Z,151,768,119647,119647,119647,41,3,9,2607,48,2655
20200528,PA,70042,357804,,1476,,,,321,,44826,A,5/28/2020 00:00,74922bd8f5c91ea0ecb0ffbcc3d8c4c8e6890ab2,2020-05-28T20:00:00Z,5373,,427846,427846,427846,42,108,0,7814,625,8439
20200528,PR,3486,,,120,,12,,5,,,B,5/28/2020 06:30,df5c1df1454099980ca23e3de7a52ce5415de407,2020-05-28T20:00:00Z,131,,3486,3486,3486,72,2,0,0,89,89
20200528,RI,14494,125871,,222,1639,53,,36,,1186,A+,5/28/2020 12:00,0365a22bde589e79431321290ad95465e7ffc69c,2020-05-28T20:00:00Z,677,1639,140365,140365,140365,44,22,15,1841,141,1982
20200528,SC,10788,171461,,397,1618,,,,,6102,A,5/27/2020 16:00,b4baccaa6e0dd2bae6cbca85e540a460e6e3aa0e,2020-05-28T20:00:00Z,470,1618,182249,182249,182249,45,4,0,6401,165,6566
20200528,SD,4793,34233,,105,406,,,,,3698,B,5/27/2020 18:00,fa05e5217208735ebc102e945cbc97d5d59f86c7,2020-05-28T20:00:00Z,54,406,39026,39026,39026,46,0,15,937,83,1020
20200528,TN,21679,394310,,,1689,,,,,14632,B,5/28/2020 15:00,051f068b0367433b0434448cb15dfb6bcb727374,2020-05-28T20:00:00Z,356,1689,415989,415989,415989,47,3,42,5986,373,6359
20200528,TX,59776,813442,,1692,,,,,,38905,B,5/28/2020 16:30,0a198f4e7f8092c607c50595e88ddf4ab8e353b7,2020-05-28T20:00:00Z,1601,,873218,873218,873218,48,39,0,15689,1855,17544
20200528,UT,8921,194586,,169,734,,231,,98,5623,B,5/28/2020 10:04,d5814481b1d5eedb1e2494bba14567ef694b7863,2020-05-28T20:00:00Z,106,734,203507,203507,203507,49,1,18,2666,215,2881
20200528,VA,41401,245880,476,1502,6974,416,,195,,5472,A+,5/27/2020 17:00,4b6e4ffcf530d52d9e30d5c0d284b33e1a26e8f9,2020-05-28T20:00:00Z,1338,6974,287757,287281,287281,51,57,148,9082,1152,10234
20200528,VI,69,1617,22,,,,,,,61,C,5/28/2020 08:14,3ee3e7b83088b16851f527f504bac0e033123a34,2020-05-28T20:00:00Z,6,,1708,1686,1686,78,0,0,175,0,175
20200528,VT,974,30178,,17,,,,,,855,B,5/27/2020 05:00,4db1a5083bf37630d6bbe8e4b0c6a32a04aee34c,2020-05-28T20:00:00Z,55,,31152,31152,31152,50,1,0,150,3,153
20200528,WA,20406,315395,,325,3394,,,94,,,B,5/27/2020 02:59,d1a0f872ae25f78d2c838361c0c507e58d90a0ba,2020-05-28T20:00:00Z,1095,3394,335801,335801,335801,53,17,56,2785,225,3010
20200528,WI,16974,220719,250,659,2452,138,556,,,10384,A+,5/28/2020 00:00,ac96dda89bd3d0838d20726087818ffba991cb20,2020-05-28T20:00:00Z,550,2452,237943,237693,237693,55,11,41,10114,512,10626
20200528,WV,1906,88409,,35,,13,,6,,1211,B,5/28/2020 10:00,740f235cab16a8d5f1c0e7266170b10a12cbe10f,2020-05-28T20:00:00Z,74,,90315,90315,90315,54,0,0,1815,39,1854
20200528,WY,874,22286,,15,82,,,,,624,C,5/28/2020 00:00,29c67970b133b2a4e1cc987d94362f6912baa22f,2020-05-28T20:00:00Z,15,82,23160,23160,23160,56,2,0,1634,24,1658